   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
4593: T8_ARMOR_CLOTH_SET1@3                                            : Elder's Scholar Robe
4594: T8_ARMOR_CLOTH_SET1@4                                            : Elder's Scholar Robe
4595: T2_SHOES_CLOTH_SET1                                              : Novice's Scholar Sandals
4596: T3_SHOES_CLOTH_SET1                                              : Journeyman's Scholar Sandals
4597: T4_SHOES_CLOTH_SET1                                              : Adept's Scholar Sandals
4598: T4_SHOES_CLOTH_SET1@1                                            : Adept's Scholar Sandals
4599: T4_SHOES_CLOTH_SET1@2                                            : Adept's Scholar Sandals
4600: T4_SHOES_CLOTH_SET1@3                                            : Adept's Scholar Sandals
4601: T4_SHOES_CLOTH_SET1@4                                            : Adept's Scholar Sandals
4602: T5_SHOES_CLOTH_SET1                                              : Expert's Scholar Sandals
4603: T5_SHOES_CLOTH_SET1@1                                            : Expert's Scholar Sandals
4604: T5_SHOES_CLOTH_SET1@2                                            : Expert's Scholar Sandals
4605: T5_SHOES_CLOTH_SET1@3                                            : Expert's Scholar Sandals
4606: T5_SHOES_CLOTH_SET1@4                                            : Expert's Scholar Sandals
4607: T6_SHOES_CLOTH_SET1                                              : Master's Scholar Sandals
4608: T6_SHOES_CLOTH_SET1@1                                            : Master's Scholar Sandals
4609: T6_SHOES_CLOTH_SET1@2                                            : Master's Scholar Sandals
4610: T6_SHOES_CLOTH_SET1@3                                            : Master's Scholar Sandals
4611: T6_SHOES_CLOTH_SET1@4                                            : Master's Scholar Sandals
4612: T7_SHOES_CLOTH_SET1                                              : Grandmaster's Scholar Sandals
4613: T7_SHOES_CLOTH_SET1@1                                            : Grandmaster's Scholar Sandals
4614: T7_SHOES_CLOTH_SET1@2                                            : Grandmaster's Scholar Sandals
4615: T7_SHOES_CLOTH_SET1@3                                            : Grandmaster's Scholar Sandals
4616: T7_SHOES_CLOTH_SET1@4                                            : Grandmaster's Scholar Sandals
4617: T8_SHOES_CLOTH_SET1                                              : Elder's Scholar Sandals
4618: T8_SHOES_CLOTH_SET1@1                                            : Elder's Scholar Sandals
4619: T8_SHOES_CLOTH_SET1@2                                            : Elder's Scholar Sandals
4620: T8_SHOES_CLOTH_SET1@3                                            : Elder's Scholar Sandals
4621: T8_SHOES_CLOTH_SET1@4                                            : Elder's Scholar Sandals
4622: T4_HEAD_CLOTH_SET2                                               : Adept's Cleric Cowl
4623: T4_HEAD_CLOTH_SET2@1                                             : Adept's Cleric Cowl
4624: T4_HEAD_CLOTH_SET2@2                                             : Adept's Cleric Cowl
4625: T4_HEAD_CLOTH_SET2@3                                             : Adept's Cleric Cowl
4626: T4_HEAD_CLOTH_SET2@4                                             : Adept's Cleric Cowl
4627: T5_HEAD_CLOTH_SET2                                               : Expert's Cleric Cowl
4628: T5_HEAD_CLOTH_SET2@1                                             : Expert's Cleric Cowl
4629: T5_HEAD_CLOTH_SET2@2                                             : Expert's Cleric Cowl
4630: T5_HEAD_CLOTH_SET2@3                                             : Expert's Cleric Cowl
4631: T5_HEAD_CLOTH_SET2@4                                             : Expert's Cleric Cowl
4632: T6_HEAD_CLOTH_SET2                                               : Master's Cleric Cowl
4633: T6_HEAD_CLOTH_SET2@1                                             : Master's Cleric Cowl
4634: T6_HEAD_CLOTH_SET2@2                                             : Master's Cleric Cowl
4635: T6_HEAD_CLOTH_SET2@3                                             : Master's Cleric Cowl
4636: T6_HEAD_CLOTH_SET2@4                                             : Master's Cleric Cowl
4637: T7_HEAD_CLOTH_SET2                                               : Grandmaster's Cleric Cowl
4638: T7_HEAD_CLOTH_SET2@1                                             : Grandmaster's Cleric Cowl
4639: T7_HEAD_CLOTH_SET2@2                                             : Grandmaster's Cleric Cowl
4640: T7_HEAD_CLOTH_SET2@3                                             : Grandmaster's Cleric Cowl
4641: T7_HEAD_CLOTH_SET2@4                                             : Grandmaster's Cleric Cowl
4642: T8_HEAD_CLOTH_SET2                                               : Elder's Cleric Cowl
4643: T8_HEAD_CLOTH_SET2@1                                             : Elder's Cleric Cowl
4644: T8_HEAD_CLOTH_SET2@2                                             : Elder's Cleric Cowl
4645: T8_HEAD_CLOTH_SET2@3                                             : Elder's Cleric Cowl
4646: T8_HEAD_CLOTH_SET2@4                                             : Elder's Cleric Cowl
4647: T4_ARMOR_CLOTH_SET2                                              : Adept's Cleric Robe
4648: T4_ARMOR_CLOTH_SET2@1                                            : Adept's Cleric Robe
4649: T4_ARMOR_CLOTH_SET2@2                                            : Adept's Cleric Robe
4650: T4_ARMOR_CLOTH_SET2@3                                            : Adept's Cleric Robe
4651: T4_ARMOR_CLOTH_SET2@4                                            : Adept's Cleric Robe
4652: T5_ARMOR_CLOTH_SET2                                              : Expert's Cleric Robe
4653: T5_ARMOR_CLOTH_SET2@1                                            : Expert's Cleric Robe
4654: T5_ARMOR_CLOTH_SET2@2                                            : Expert's Cleric Robe
4655: T5_ARMOR_CLOTH_SET2@3                                            : Expert's Cleric Robe
4656: T5_ARMOR_CLOTH_SET2@4                                            : Expert's Cleric Robe
4657: T6_ARMOR_CLOTH_SET2                                              : Master's Cleric Robe
4658: T6_ARMOR_CLOTH_SET2@1                                            : Master's Cleric Robe
4659: T6_ARMOR_CLOTH_SET2@2                                            : Master's Cleric Robe
4660: T6_ARMOR_CLOTH_SET2@3                                            : Master's Cleric Robe
4661: T6_ARMOR_CLOTH_SET2@4                                            : Master's Cleric Robe
4662: T7_ARMOR_CLOTH_SET2                                              : Grandmaster's Cleric Robe
4663: T7_ARMOR_CLOTH_SET2@1                                            : Grandmaster's Cleric Robe
4664: T7_ARMOR_CLOTH_SET2@2                                            : Grandmaster's Cleric Robe
4665: T7_ARMOR_CLOTH_SET2@3                                            : Grandmaster's Cleric Robe
4666: T7_ARMOR_CLOTH_SET2@4                                            : Grandmaster's Cleric Robe
4667: T8_ARMOR_CLOTH_SET2                                              : Elder's Cleric Robe
4668: T8_ARMOR_CLOTH_SET2@1                                            : Elder's Cleric Robe
4669: T8_ARMOR_CLOTH_SET2@2                                            : Elder's Cleric Robe
4670: T8_ARMOR_CLOTH_SET2@3                                            : Elder's Cleric Robe
4671: T8_ARMOR_CLOTH_SET2@4                                            : Elder's Cleric Robe
4672: T4_SHOES_CLOTH_SET2                                              : Adept's Cleric Sandals
4673: T4_SHOES_CLOTH_SET2@1                                            : Adept's Cleric Sandals
4674: T4_SHOES_CLOTH_SET2@2                                            : Adept's Cleric Sandals
4675: T4_SHOES_CLOTH_SET2@3                                            : Adept's Cleric Sandals
4676: T4_SHOES_CLOTH_SET2@4                                            : Adept's Cleric Sandals
4677: T5_SHOES_CLOTH_SET2                                              : Expert's Cleric Sandals
4678: T5_SHOES_CLOTH_SET2@1                                            : Expert's Cleric Sandals
4679: T5_SHOES_CLOTH_SET2@2                                            : Expert's Cleric Sandals
4680: T5_SHOES_CLOTH_SET2@3                                            : Expert's Cleric Sandals
4681: T5_SHOES_CLOTH_SET2@4                                            : Expert's Cleric Sandals
4682: T6_SHOES_CLOTH_SET2                                              : Master's Cleric Sandals
4683: T6_SHOES_CLOTH_SET2@1                                            : Master's Cleric Sandals
4684: T6_SHOES_CLOTH_SET2@2                                            : Master's Cleric Sandals
4685: T6_SHOES_CLOTH_SET2@3                                            : Master's Cleric Sandals
4686: T6_SHOES_CLOTH_SET2@4                                            : Master's Cleric Sandals
4687: T7_SHOES_CLOTH_SET2                                              : Grandmaster's Cleric Sandals
4688: T7_SHOES_CLOTH_SET2@1                                            : Grandmaster's Cleric Sandals
4689: T7_SHOES_CLOTH_SET2@2                                            : Grandmaster's Cleric Sandals
4690: T7_SHOES_CLOTH_SET2@3                                            : Grandmaster's Cleric Sandals
4691: T7_SHOES_CLOTH_SET2@4                                            : Grandmaster's Cleric Sandals
4692: T8_SHOES_CLOTH_SET2                                              : Elder's Cleric Sandals
4693: T8_SHOES_CLOTH_SET2@1                                            : Elder's Cleric Sandals
4694: T8_SHOES_CLOTH_SET2@2                                            : Elder's Cleric Sandals
4695: T8_SHOES_CLOTH_SET2@3                                            : Elder's Cleric Sandals
4696: T8_SHOES_CLOTH_SET2@4                                            : Elder's Cleric Sandals
4697: T4_HEAD_CLOTH_SET3                                               : Adept's Mage Cowl
4698: T4_HEAD_CLOTH_SET3@1                                             : Adept's Mage Cowl
4699: T4_HEAD_CLOTH_SET3@2                                             : Adept's Mage Cowl
4700: T4_HEAD_CLOTH_SET3@3                                             : Adept's Mage Cowl
4701: T4_HEAD_CLOTH_SET3@4                                             : Adept's Mage Cowl
4702: T5_HEAD_CLOTH_SET3                                               : Expert's Mage Cowl
4703: T5_HEAD_CLOTH_SET3@1                                             : Expert's Mage Cowl
4704: T5_HEAD_CLOTH_SET3@2                                             : Expert's Mage Cowl
4705: T5_HEAD_CLOTH_SET3@3                                             : Expert's Mage Cowl
4706: T5_HEAD_CLOTH_SET3@4                                             : Expert's Mage Cowl
4707: T6_HEAD_CLOTH_SET3                                               : Master's Mage Cowl
4708: T6_HEAD_CLOTH_SET3@1                                             : Master's Mage Cowl
4709: T6_HEAD_CLOTH_SET3@2                                             : Master's Mage Cowl
4710: T6_HEAD_CLOTH_SET3@3                                             : Master's Mage Cowl
4711: T6_HEAD_CLOTH_SET3@4                                             : Master's Mage Cowl
4712: T7_HEAD_CLOTH_SET3                                               : Grandmaster's Mage Cowl
4713: T7_HEAD_CLOTH_SET3@1                                             : Grandmaster's Mage Cowl
4714: T7_HEAD_CLOTH_SET3@2                                             : Grandmaster's Mage Cowl
4715: T7_HEAD_CLOTH_SET3@3                                             : Grandmaster's Mage Cowl
4716: T7_HEAD_CLOTH_SET3@4                                             : Grandmaster's Mage Cowl
4717: T8_HEAD_CLOTH_SET3                                               : Elder's Mage Cowl
4718: T8_HEAD_CLOTH_SET3@1                                             : Elder's Mage Cowl
4719: T8_HEAD_CLOTH_SET3@2                                             : Elder's Mage Cowl
4720: T8_HEAD_CLOTH_SET3@3                                             : Elder's Mage Cowl
4721: T8_HEAD_CLOTH_SET3@4                                             : Elder's Mage Cowl
4722: T4_ARMOR_CLOTH_SET3                                              : Adept's Mage Robe
4723: T4_ARMOR_CLOTH_SET3@1                                            : Adept's Mage Robe
4724: T4_ARMOR_CLOTH_SET3@2                                            : Adept's Mage Robe
4725: T4_ARMOR_CLOTH_SET3@3                                            : Adept's Mage Robe
4726: T4_ARMOR_CLOTH_SET3@4                                            : Adept's Mage Robe
4727: T5_ARMOR_CLOTH_SET3                                              : Expert's Mage Robe
4728: T5_ARMOR_CLOTH_SET3@1                                            : Expert's Mage Robe
4729: T5_ARMOR_CLOTH_SET3@2                                            : Expert's Mage Robe
4730: T5_ARMOR_CLOTH_SET3@3                                            : Expert's Mage Robe
4731: T5_ARMOR_CLOTH_SET3@4                                            : Expert's Mage Robe
4732: T6_ARMOR_CLOTH_SET3                                              : Master's Mage Robe
4733: T6_ARMOR_CLOTH_SET3@1                                            : Master's Mage Robe
4734: T6_ARMOR_CLOTH_SET3@2                                            : Master's Mage Robe
4735: T6_ARMOR_CLOTH_SET3@3                                            : Master's Mage Robe
4736: T6_ARMOR_CLOTH_SET3@4                                            : Master's Mage Robe
4737: T7_ARMOR_CLOTH_SET3                                              : Grandmaster's Mage Robe
4738: T7_ARMOR_CLOTH_SET3@1                                            : Grandmaster's Mage Robe
4739: T7_ARMOR_CLOTH_SET3@2                                            : Grandmaster's Mage Robe
4740: T7_ARMOR_CLOTH_SET3@3                                            : Grandmaster's Mage Robe
4741: T7_ARMOR_CLOTH_SET3@4                                            : Grandmaster's Mage Robe
4742: T8_ARMOR_CLOTH_SET3                                              : Elder's Mage Robe
4743: T8_ARMOR_CLOTH_SET3@1                                            : Elder's Mage Robe
4744: T8_ARMOR_CLOTH_SET3@2                                            : Elder's Mage Robe
4745: T8_ARMOR_CLOTH_SET3@3                                            : Elder's Mage Robe
4746: T8_ARMOR_CLOTH_SET3@4                                            : Elder's Mage Robe
4747: T4_SHOES_CLOTH_SET3                                              : Adept's Mage Sandals
4748: T4_SHOES_CLOTH_SET3@1                                            : Adept's Mage Sandals
4749: T4_SHOES_CLOTH_SET3@2                                            : Adept's Mage Sandals
4750: T4_SHOES_CLOTH_SET3@3                                            : Adept's Mage Sandals
4751: T4_SHOES_CLOTH_SET3@4                                            : Adept's Mage Sandals
4752: T5_SHOES_CLOTH_SET3                                              : Expert's Mage Sandals
4753: T5_SHOES_CLOTH_SET3@1                                            : Expert's Mage Sandals
4754: T5_SHOES_CLOTH_SET3@2                                            : Expert's Mage Sandals
4755: T5_SHOES_CLOTH_SET3@3                                            : Expert's Mage Sandals
4756: T5_SHOES_CLOTH_SET3@4                                            : Expert's Mage Sandals
4757: T6_SHOES_CLOTH_SET3                                              : Master's Mage Sandals
4758: T6_SHOES_CLOTH_SET3@1                                            : Master's Mage Sandals
4759: T6_SHOES_CLOTH_SET3@2                                            : Master's Mage Sandals
4760: T6_SHOES_CLOTH_SET3@3                                            : Master's Mage Sandals
4761: T6_SHOES_CLOTH_SET3@4                                            : Master's Mage Sandals
4762: T7_SHOES_CLOTH_SET3                                              : Grandmaster's Mage Sandals
4763: T7_SHOES_CLOTH_SET3@1                                            : Grandmaster's Mage Sandals
4764: T7_SHOES_CLOTH_SET3@2                                            : Grandmaster's Mage Sandals
4765: T7_SHOES_CLOTH_SET3@3                                            : Grandmaster's Mage Sandals
4766: T7_SHOES_CLOTH_SET3@4                                            : Grandmaster's Mage Sandals
4767: T8_SHOES_CLOTH_SET3                                              : Elder's Mage Sandals
4768: T8_SHOES_CLOTH_SET3@1                                            : Elder's Mage Sandals
4769: T8_SHOES_CLOTH_SET3@2                                            : Elder's Mage Sandals
4770: T8_SHOES_CLOTH_SET3@3                                            : Elder's Mage Sandals
4771: T8_SHOES_CLOTH_SET3@4                                            : Elder's Mage Sandals
4772: T4_HEAD_CLOTH_KEEPER                                             : Adept's Druid Cowl
4773: T4_HEAD_CLOTH_KEEPER@1                                           : Adept's Druid Cowl
4774: T4_HEAD_CLOTH_KEEPER@2                                           : Adept's Druid Cowl
4775: T4_HEAD_CLOTH_KEEPER@3                                           : Adept's Druid Cowl
4776: T4_HEAD_CLOTH_KEEPER@4                                           : Adept's Druid Cowl
4777: T5_HEAD_CLOTH_KEEPER                                             : Expert's Druid Cowl
4778: T5_HEAD_CLOTH_KEEPER@1                                           : Expert's Druid Cowl
4779: T5_HEAD_CLOTH_KEEPER@2                                           : Expert's Druid Cowl
4780: T5_HEAD_CLOTH_KEEPER@3                                           : Expert's Druid Cowl
4781: T5_HEAD_CLOTH_KEEPER@4                                           : Expert's Druid Cowl
4782: T6_HEAD_CLOTH_KEEPER                                             : Master's Druid Cowl
4783: T6_HEAD_CLOTH_KEEPER@1                                           : Master's Druid Cowl
4784: T6_HEAD_CLOTH_KEEPER@2                                           : Master's Druid Cowl
4785: T6_HEAD_CLOTH_KEEPER@3                                           : Master's Druid Cowl
4786: T6_HEAD_CLOTH_KEEPER@4                                           : Master's Druid Cowl
4787: T7_HEAD_CLOTH_KEEPER                                             : Grandmaster's Druid Cowl
4788: T7_HEAD_CLOTH_KEEPER@1                                           : Grandmaster's Druid Cowl
4789: T7_HEAD_CLOTH_KEEPER@2                                           : Grandmaster's Druid Cowl
4790: T7_HEAD_CLOTH_KEEPER@3                                           : Grandmaster's Druid Cowl
4791: T7_HEAD_CLOTH_KEEPER@4                                           : Grandmaster's Druid Cowl
4792: T8_HEAD_CLOTH_KEEPER                                             : Elder's Druid Cowl
4793: T8_HEAD_CLOTH_KEEPER@1                                           : Elder's Druid Cowl
4794: T8_HEAD_CLOTH_KEEPER@2                                           : Elder's Druid Cowl
4795: T8_HEAD_CLOTH_KEEPER@3                                           : Elder's Druid Cowl
4796: T8_HEAD_CLOTH_KEEPER@4                                           : Elder's Druid Cowl
4797: T4_ARMOR_CLOTH_KEEPER                                            : Adept's Druid Robe
4798: T4_ARMOR_CLOTH_KEEPER@1                                          : Adept's Druid Robe
4799: T4_ARMOR_CLOTH_KEEPER@2                                          : Adept's Druid Robe
4800: T4_ARMOR_CLOTH_KEEPER@3                                          : Adept's Druid Robe
4801: T4_ARMOR_CLOTH_KEEPER@4                                          : Adept's Druid Robe
4802: T5_ARMOR_CLOTH_KEEPER                                            : Expert's Druid Robe
4803: T5_ARMOR_CLOTH_KEEPER@1                                          : Expert's Druid Robe
4804: T5_ARMOR_CLOTH_KEEPER@2                                          : Expert's Druid Robe
4805: T5_ARMOR_CLOTH_KEEPER@3                                          : Expert's Druid Robe
4806: T5_ARMOR_CLOTH_KEEPER@4                                          : Expert's Druid Robe
4807: T6_ARMOR_CLOTH_KEEPER                                            : Master's Druid Robe
4808: T6_ARMOR_CLOTH_KEEPER@1                                          : Master's Druid Robe
4809: T6_ARMOR_CLOTH_KEEPER@2                                          : Master's Druid Robe
4810: T6_ARMOR_CLOTH_KEEPER@3                                          : Master's Druid Robe
4811: T6_ARMOR_CLOTH_KEEPER@4                                          : Master's Druid Robe
4812: T7_ARMOR_CLOTH_KEEPER                                            : Grandmaster's Druid Robe
4813: T7_ARMOR_CLOTH_KEEPER@1                                          : Grandmaster's Druid Robe
4814: T7_ARMOR_CLOTH_KEEPER@2                                          : Grandmaster's Druid Robe
4815: T7_ARMOR_CLOTH_KEEPER@3                                          : Grandmaster's Druid Robe
4816: T7_ARMOR_CLOTH_KEEPER@4                                          : Grandmaster's Druid Robe
4817: T8_ARMOR_CLOTH_KEEPER                                            : Elder's Druid Robe
4818: T8_ARMOR_CLOTH_KEEPER@1                                          : Elder's Druid Robe
4819: T8_ARMOR_CLOTH_KEEPER@2                                          : Elder's Druid Robe
4820: T8_ARMOR_CLOTH_KEEPER@3                                          : Elder's Druid Robe
4821: T8_ARMOR_CLOTH_KEEPER@4                                          : Elder's Druid Robe
4822: T4_SHOES_CLOTH_KEEPER                                            : Adept's Druid Sandals
4823: T4_SHOES_CLOTH_KEEPER@1                                          : Adept's Druid Sandals
4824: T4_SHOES_CLOTH_KEEPER@2                                          : Adept's Druid Sandals
4825: T4_SHOES_CLOTH_KEEPER@3                                          : Adept's Druid Sandals
4826: T4_SHOES_CLOTH_KEEPER@4                                          : Adept's Druid Sandals
4827: T5_SHOES_CLOTH_KEEPER                                            : Expert's Druid Sandals
4828: T5_SHOES_CLOTH_KEEPER@1                                          : Expert's Druid Sandals
4829: T5_SHOES_CLOTH_KEEPER@2                                          : Expert's Druid Sandals
4830: T5_SHOES_CLOTH_KEEPER@3                                          : Expert's Druid Sandals
4831: T5_SHOES_CLOTH_KEEPER@4                                          : Expert's Druid Sandals
4832: T6_SHOES_CLOTH_KEEPER                                            : Master's Druid Sandals
4833: T6_SHOES_CLOTH_KEEPER@1                                          : Master's Druid Sandals
4834: T6_SHOES_CLOTH_KEEPER@2                                          : Master's Druid Sandals
4835: T6_SHOES_CLOTH_KEEPER@3                                          : Master's Druid Sandals
4836: T6_SHOES_CLOTH_KEEPER@4                                          : Master's Druid Sandals
4837: T7_SHOES_CLOTH_KEEPER                                            : Grandmaster's Druid Sandals
4838: T7_SHOES_CLOTH_KEEPER@1                                          : Grandmaster's Druid Sandals
4839: T7_SHOES_CLOTH_KEEPER@2                                          : Grandmaster's Druid Sandals
4840: T7_SHOES_CLOTH_KEEPER@3                                          : Grandmaster's Druid Sandals
4841: T7_SHOES_CLOTH_KEEPER@4                                          : Grandmaster's Druid Sandals
4842: T8_SHOES_CLOTH_KEEPER                                            : Elder's Druid Sandals
4843: T8_SHOES_CLOTH_KEEPER@1                                          : Elder's Druid Sandals
4844: T8_SHOES_CLOTH_KEEPER@2                                          : Elder's Druid Sandals
4845: T8_SHOES_CLOTH_KEEPER@3                                          : Elder's Druid Sandals
4846: T8_SHOES_CLOTH_KEEPER@4                                          : Elder's Druid Sandals
4847: T4_HEAD_CLOTH_HELL                                               : Adept's Fiend Cowl
4848: T4_HEAD_CLOTH_HELL@1                                             : Adept's Fiend Cowl
4849: T4_HEAD_CLOTH_HELL@2                                             : Adept's Fiend Cowl
4850: T4_HEAD_CLOTH_HELL@3                                             : Adept's Fiend Cowl
4851: T4_HEAD_CLOTH_HELL@4                                             : Adept's Fiend Cowl
4852: T5_HEAD_CLOTH_HELL                                               : Expert's Fiend Cowl
4853: T5_HEAD_CLOTH_HELL@1                                             : Expert's Fiend Cowl
4854: T5_HEAD_CLOTH_HELL@2                                             : Expert's Fiend Cowl
4855: T5_HEAD_CLOTH_HELL@3                                             : Expert's Fiend Cowl
4856: T5_HEAD_CLOTH_HELL@4                                             : Expert's Fiend Cowl
4857: T6_HEAD_CLOTH_HELL                                               : Master's Fiend Cowl
4858: T6_HEAD_CLOTH_HELL@1                                             : Master's Fiend Cowl
4859: T6_HEAD_CLOTH_HELL@2                                             : Master's Fiend Cowl
4860: T6_HEAD_CLOTH_HELL@3                                             : Master's Fiend Cowl
4861: T6_HEAD_CLOTH_HELL@4                                             : Master's Fiend Cowl
4862: T7_HEAD_CLOTH_HELL                                               : Grandmaster's Fiend Cowl
4863: T7_HEAD_CLOTH_HELL@1                                             : Grandmaster's Fiend Cowl
4864: T7_HEAD_CLOTH_HELL@2                                             : Grandmaster's Fiend Cowl
4865: T7_HEAD_CLOTH_HELL@3                                             : Grandmaster's Fiend Cowl
4866: T7_HEAD_CLOTH_HELL@4                                             : Grandmaster's Fiend Cowl
4867: T8_HEAD_CLOTH_HELL                                               : Elder's Fiend Cowl
4868: T8_HEAD_CLOTH_HELL@1                                             : Elder's Fiend Cowl
4869: T8_HEAD_CLOTH_HELL@2                                             : Elder's Fiend Cowl
4870: T8_HEAD_CLOTH_HELL@3                                             : Elder's Fiend Cowl
4871: T8_HEAD_CLOTH_HELL@4                                             : Elder's Fiend Cowl
4872: T4_ARMOR_CLOTH_HELL                                              : Adept's Fiend Robe
4873: T4_ARMOR_CLOTH_HELL@1                                            : Adept's Fiend Robe
4874: T4_ARMOR_CLOTH_HELL@2                                            : Adept's Fiend Robe
4875: T4_ARMOR_CLOTH_HELL@3                                            : Adept's Fiend Robe
4876: T4_ARMOR_CLOTH_HELL@4                                            : Adept's Fiend Robe
4877: T5_ARMOR_CLOTH_HELL                                              : Expert's Fiend Robe
4878: T5_ARMOR_CLOTH_HELL@1                                            : Expert's Fiend Robe
4879: T5_ARMOR_CLOTH_HELL@2                                            : Expert's Fiend Robe
4880: T5_ARMOR_CLOTH_HELL@3                                            : Expert's Fiend Robe
4881: T5_ARMOR_CLOTH_HELL@4                                            : Expert's Fiend Robe
4882: T6_ARMOR_CLOTH_HELL                                              : Master's Fiend Robe
4883: T6_ARMOR_CLOTH_HELL@1                                            : Master's Fiend Robe
4884: T6_ARMOR_CLOTH_HELL@2                                            : Master's Fiend Robe
4885: T6_ARMOR_CLOTH_HELL@3                                            : Master's Fiend Robe
4886: T6_ARMOR_CLOTH_HELL@4                                            : Master's Fiend Robe
4887: T7_ARMOR_CLOTH_HELL                                              : Grandmaster's Fiend Robe
4888: T7_ARMOR_CLOTH_HELL@1                                            : Grandmaster's Fiend Robe
4889: T7_ARMOR_CLOTH_HELL@2                                            : Grandmaster's Fiend Robe
4890: T7_ARMOR_CLOTH_HELL@3                                            : Grandmaster's Fiend Robe
4891: T7_ARMOR_CLOTH_HELL@4                                            : Grandmaster's Fiend Robe
4892: T8_ARMOR_CLOTH_HELL                                              : Elder's Fiend Robe
4893: T8_ARMOR_CLOTH_HELL@1                                            : Elder's Fiend Robe
4894: T8_ARMOR_CLOTH_HELL@2                                            : Elder's Fiend Robe
4895: T8_ARMOR_CLOTH_HELL@3                                            : Elder's Fiend Robe
4896: T8_ARMOR_CLOTH_HELL@4                                            : Elder's Fiend Robe
4897: T4_SHOES_CLOTH_HELL                                              : Adept's Fiend Sandals
4898: T4_SHOES_CLOTH_HELL@1                                            : Adept's Fiend Sandals
4899: T4_SHOES_CLOTH_HELL@2                                            : Adept's Fiend Sandals
4900: T4_SHOES_CLOTH_HELL@3                                            : Adept's Fiend Sandals
4901: T4_SHOES_CLOTH_HELL@4                                            : Adept's Fiend Sandals
4902: T5_SHOES_CLOTH_HELL                                              : Expert's Fiend Sandals
4903: T5_SHOES_CLOTH_HELL@1                                            : Expert's Fiend Sandals
4904: T5_SHOES_CLOTH_HELL@2                                            : Expert's Fiend Sandals
4905: T5_SHOES_CLOTH_HELL@3                                            : Expert's Fiend Sandals
4906: T5_SHOES_CLOTH_HELL@4                                            : Expert's Fiend Sandals
4907: T6_SHOES_CLOTH_HELL                                              : Master's Fiend Sandals
4908: T6_SHOES_CLOTH_HELL@1                                            : Master's Fiend Sandals
4909: T6_SHOES_CLOTH_HELL@2                                            : Master's Fiend Sandals
4910: T6_SHOES_CLOTH_HELL@3                                            : Master's Fiend Sandals
4911: T6_SHOES_CLOTH_HELL@4                                            : Master's Fiend Sandals
4912: T7_SHOES_CLOTH_HELL                                              : Grandmaster's Fiend Sandals
4913: T7_SHOES_CLOTH_HELL@1                                            : Grandmaster's Fiend Sandals
4914: T7_SHOES_CLOTH_HELL@2                                            : Grandmaster's Fiend Sandals
4915: T7_SHOES_CLOTH_HELL@3                                            : Grandmaster's Fiend Sandals
4916: T7_SHOES_CLOTH_HELL@4                                            : Grandmaster's Fiend Sandals
4917: T8_SHOES_CLOTH_HELL                                              : Elder's Fiend Sandals
4918: T8_SHOES_CLOTH_HELL@1                                            : Elder's Fiend Sandals
4919: T8_SHOES_CLOTH_HELL@2                                            : Elder's Fiend Sandals
4920: T8_SHOES_CLOTH_HELL@3                                            : Elder's Fiend Sandals
4921: T8_SHOES_CLOTH_HELL@4                                            : Elder's Fiend Sandals
4922: T4_HEAD_CLOTH_MORGANA                                            : Adept's Cultist Cowl
4923: T4_HEAD_CLOTH_MORGANA@1                                          : Adept's Cultist Cowl
4924: T4_HEAD_CLOTH_MORGANA@2                                          : Adept's Cultist Cowl
4925: T4_HEAD_CLOTH_MORGANA@3                                          : Adept's Cultist Cowl
4926: T4_HEAD_CLOTH_MORGANA@4                                          : Adept's Cultist Cowl
4927: T5_HEAD_CLOTH_MORGANA                                            : Expert's Cultist Cowl
4928: T5_HEAD_CLOTH_MORGANA@1                                          : Expert's Cultist Cowl
4929: T5_HEAD_CLOTH_MORGANA@2                                          : Expert's Cultist Cowl
4930: T5_HEAD_CLOTH_MORGANA@3                                          : Expert's Cultist Cowl
4931: T5_HEAD_CLOTH_MORGANA@4                                          : Expert's Cultist Cowl
4932: T6_HEAD_CLOTH_MORGANA                                            : Master's Cultist Cowl
4933: T6_HEAD_CLOTH_MORGANA@1                                          : Master's Cultist Cowl
4934: T6_HEAD_CLOTH_MORGANA@2                                          : Master's Cultist Cowl
4935: T6_HEAD_CLOTH_MORGANA@3                                          : Master's Cultist Cowl
4936: T6_HEAD_CLOTH_MORGANA@4                                          : Master's Cultist Cowl
4937: T7_HEAD_CLOTH_MORGANA                                            : Grandmaster's Cultist Cowl
4938: T7_HEAD_CLOTH_MORGANA@1                                          : Grandmaster's Cultist Cowl
4939: T7_HEAD_CLOTH_MORGANA@2                                          : Grandmaster's Cultist Cowl
4940: T7_HEAD_CLOTH_MORGANA@3                                          : Grandmaster's Cultist Cowl
4941: T7_HEAD_CLOTH_MORGANA@4                                          : Grandmaster's Cultist Cowl
4942: T8_HEAD_CLOTH_MORGANA                                            : Elder's Cultist Cowl
4943: T8_HEAD_CLOTH_MORGANA@1                                          : Elder's Cultist Cowl
4944: T8_HEAD_CLOTH_MORGANA@2                                          : Elder's Cultist Cowl
4945: T8_HEAD_CLOTH_MORGANA@3                                          : Elder's Cultist Cowl
4946: T8_HEAD_CLOTH_MORGANA@4                                          : Elder's Cultist Cowl
4947: T4_ARMOR_CLOTH_MORGANA                                           : Adept's Cultist Robe
4948: T4_ARMOR_CLOTH_MORGANA@1                                         : Adept's Cultist Robe
